index,data,valor
0,2014-07-18,1.50
1,2014-08-05,83.20
2,2014-08-08,22.50
3,2014-08-11,15.91
4,2014-08-12,0.44
5,2014-08-13,1393.49
6,2014-08-14,2100.92
7,2014-08-15,2882.71
8,2014-08-16,3893.80
9,2014-08-17,3774.72
10,2014-08-18,1687.77
11,2014-08-19,1091.96
12,2014-08-20,1659.50
13,2014-08-21,1737.11
14,2014-08-22,3388.52
15,2014-08-23,4107.50
16,2014-08-24,4626.87
17,2014-08-25,1760.93
18,2014-08-26,1640.58
19,2014-08-27,2107.75
20,2014-08-28,2690.52
21,2014-08-29,3385.84
22,2014-08-30,5117.44
23,2014-08-31,5058.88
24,2014-09-01,2284.99
25,2014-09-02,1918.14
26,2014-09-03,2508.91
27,2014-09-04,2015.57
28,2014-09-05,4133.71
29,2014-09-06,4774.22
30,2014-09-07,3598.60
31,2014-09-08,1499.42
32,2014-09-09,1164.88
33,2014-09-10,2232.54
34,2014-09-11,1592.50
35,2014-09-12,4122.67
36,2014-09-13,4046.96
37,2014-09-14,5274.91
38,2014-09-15,1194.44
39,2014-09-16,1169.04
40,2014-09-17,1816.80
41,2014-09-18,1115.87
42,2014-09-19,3534.05
43,2014-09-20,4753.52
44,2014-09-21,4410.94
45,2014-09-22,1033.92
46,2014-09-23,1534.57
47,2014-09-24,3185.22
48,2014-09-25,1676.89
49,2014-09-26,3063.76
50,2014-09-27,4096.49
51,2014-09-28,3433.96
52,2014-09-29,1388.30
53,2014-09-30,1131.95
54,2014-10-01,1876.60
55,2014-10-02,1386.10
56,2014-10-03,2099.46
57,2014-10-04,5499.34
58,2014-10-05,3751.07
59,2014-10-06,2303.57
60,2014-10-07,2044.36
61,2014-10-08,2826.99
62,2014-10-09,1869.38
63,2014-10-10,3947.65
64,2014-10-11,5913.40
65,2014-10-12,4906.76
66,2014-10-13,1379.80
67,2014-10-14,1801.87
68,2014-10-15,3115.89
69,2014-10-16,1945.09
70,2014-10-17,3753.12
71,2014-10-18,4663.95
72,2014-10-19,3275.96
73,2014-10-20,908.50
74,2014-10-21,1606.26
75,2014-10-22,1986.30
76,2014-10-23,2764.46
77,2014-10-24,3548.29
78,2014-10-25,4828.87
79,2014-10-26,2805.33
80,2014-10-27,2219.27
81,2014-10-28,2325.39
82,2014-10-29,1483.12
83,2014-10-30,5566.88
84,2014-10-31,4591.46
85,2014-11-01,5208.53
86,2014-11-02,3835.13
87,2014-11-03,2022.43
88,2014-11-04,2061.56
89,2014-11-05,2435.79
90,2014-11-06,1963.47
91,2014-11-07,2707.78
92,2014-11-08,4290.74
93,2014-11-09,4474.47
94,2014-11-10,1522.25
95,2014-11-11,1568.44
96,2014-11-12,2416.26
97,2014-11-13,1938.58
98,2014-11-14,3577.07
99,2014-11-15,5138.28
100,2014-11-16,3998.42
101,2014-11-17,2157.51
102,2014-11-18,2162.68
103,2014-11-19,2078.03
104,2014-11-20,3385.50
105,2014-11-21,4095.77
106,2014-11-22,5554.62
107,2014-11-23,4906.93
108,2014-11-24,1910.76
109,2014-11-25,2084.77
110,2014-11-26,2155.80
111,2014-11-27,3645.96
112,2014-11-28,4830.61
113,2014-11-29,5704.76
114,2014-11-30,5918.80
115,2014-12-01,2457.73
116,2014-12-02,3050.49
117,2014-12-03,2614.54
118,2014-12-04,2825.10
119,2014-12-05,4052.09
120,2014-12-06,5736.54
121,2014-12-07,5371.75
122,2014-12-08,2641.42
123,2014-12-09,2354.52
124,2014-12-10,4476.62
125,2014-12-11,3961.86
126,2014-12-12,4309.69
127,2014-12-13,5184.67
128,2014-12-14,4666.98
129,2014-12-15,2294.58
130,2014-12-16,2845.26
131,2014-12-17,2501.85
132,2014-12-18,3361.77
133,2014-12-19,4000.62
134,2014-12-20,5524.74
135,2014-12-21,6424.12
136,2014-12-22,5154.80
137,2014-12-23,5706.63
138,2014-12-24,4105.41
139,2014-12-25,2414.00
140,2014-12-26,4365.59
141,2014-12-27,4936.40
142,2014-12-28,3889.34
143,2014-12-29,2835.31
144,2014-12-30,4535.56
145,2014-12-31,2734.28
146,2015-01-01,2255.00
147,2015-01-02,2523.85
148,2015-01-03,3834.66
149,2015-01-04,3622.18
150,2015-01-05,1556.19
151,2015-01-06,2026.37
152,2015-01-07,2491.19
153,2015-01-08,1844.40
154,2015-01-09,3013.37
155,2015-01-10,4073.43
156,2015-01-11,3371.48
157,2015-01-12,1637.65
158,2015-01-13,2247.90
159,2015-01-14,2023.87
160,2015-01-15,2950.22
161,2015-01-16,2364.34
162,2015-01-17,4013.27
163,2015-01-18,5234.29
164,2015-01-19,1739.76
165,2015-01-20,2044.29
166,2015-01-21,1714.84
167,2015-01-22,1548.40
168,2015-01-23,3325.76
169,2015-01-24,3938.39
170,2015-01-25,3663.17
171,2015-01-26,1263.00
172,2015-01-27,1655.82
173,2015-01-28,1690.70
174,2015-01-29,1377.13
175,2015-01-30,2300.69
176,2015-01-31,3370.15
177,2015-02-01,4555.95
178,2015-02-02,2088.90
179,2015-02-03,1748.00
180,2015-02-04,1809.98
181,2015-02-05,2401.33
182,2015-02-06,3216.40
183,2015-02-07,4781.57
184,2015-02-08,5247.42
185,2015-02-09,1882.44
186,2015-02-10,2050.50
187,2015-02-11,2623.35
188,2015-02-12,2882.92
189,2015-02-13,1988.70
190,2015-02-14,3765.78
191,2015-02-15,1764.14
192,2015-02-18,2383.30
193,2015-02-19,1311.98
194,2015-02-20,2431.41
195,2015-02-21,5319.99
196,2015-02-22,4163.57
197,2015-02-23,1512.96
198,2015-02-24,1799.55
199,2015-02-25,1860.99
200,2015-02-26,2031.64
201,2015-02-27,2570.31
202,2015-02-28,4031.55
203,2015-03-01,4209.61
204,2015-03-02,1522.18
205,2015-03-03,2352.87
206,2015-03-04,2144.50
207,2015-03-05,1546.50
208,2015-03-06,3403.21
209,2015-03-07,3150.43
210,2015-03-08,4024.54
211,2015-03-09,1291.49
212,2015-03-10,1747.73
213,2015-03-11,1770.03
214,2015-03-12,1729.15
215,2015-03-13,2397.45
216,2015-03-14,3545.91
217,2015-03-15,2937.31
218,2015-03-16,1553.19
219,2015-03-17,1819.66
220,2015-03-18,1728.15
221,2015-03-19,3347.84
222,2015-03-20,2115.32
223,2015-03-21,2731.12
224,2015-03-22,3175.39
225,2015-03-23,1346.39
226,2015-03-24,1746.83
227,2015-03-25,2174.00
228,2015-03-26,1181.47
229,2015-03-27,2708.74
230,2015-03-28,3366.04
231,2015-03-29,2681.49
232,2015-03-30,1507.56
233,2015-03-31,2223.35
234,2015-04-01,2059.33
235,2015-04-02,3497.39
236,2015-04-03,4869.60
237,2015-04-04,19071.83
238,2015-04-05,13512.03
239,2015-04-06,8023.30
240,2015-04-07,7650.92
241,2015-04-08,7909.52
242,2015-04-09,7905.00
243,2015-04-10,10081.08
244,2015-04-11,16509.19
245,2015-04-12,14703.51
246,2015-04-13,6442.12
247,2015-04-14,5292.20
248,2015-04-15,5897.59
249,2015-04-16,6648.58
250,2015-04-17,8676.43
251,2015-04-18,15688.35
252,2015-04-19,11558.01
253,2015-04-20,6855.63
254,2015-04-21,10204.47
255,2015-04-22,4997.74
256,2015-04-23,6443.79
257,2015-04-24,8505.01
258,2015-04-25,14176.01
259,2015-04-26,12449.76
260,2015-04-27,5724.73
261,2015-04-28,5394.89
262,2015-04-29,4602.27
263,2015-04-30,8162.10
264,2015-05-01,5966.23
265,2015-05-02,14875.54
266,2015-05-03,9067.07
267,2015-05-04,5430.45
268,2015-05-05,4232.68
269,2015-05-06,6562.66
270,2015-05-07,7397.34
271,2015-05-08,10522.92
272,2015-05-09,14709.79
273,2015-05-10,11482.98
274,2015-05-11,4213.81
275,2015-05-12,7322.32
276,2015-05-13,8095.85
277,2015-05-14,8823.11
278,2015-05-15,12946.61
279,2015-05-16,19850.50
280,2015-05-17,18432.54
281,2015-05-18,6545.07
282,2015-05-19,6416.85
283,2015-05-20,8110.31
284,2015-05-21,8524.97
285,2015-05-22,10857.08
286,2015-05-23,18186.37
287,2015-05-24,17000.29
288,2015-05-25,6503.68
289,2015-05-26,6047.73
290,2015-05-27,7086.33
291,2015-05-28,8131.38
292,2015-05-29,12890.67
293,2015-05-30,20644.18
294,2015-05-31,18315.83
295,2015-06-01,6505.45
296,2015-06-02,7940.15
297,2015-06-03,10302.36
298,2015-06-04,19000.79
299,2015-06-05,12935.66
300,2015-06-06,14714.77
301,2015-06-07,15064.83
302,2015-06-08,5786.05
303,2015-06-09,8504.65
304,2015-06-10,8024.98
305,2015-06-11,10429.21
306,2015-06-12,16803.87
307,2015-06-13,18926.44
308,2015-06-14,18255.29
309,2015-06-15,5742.21
310,2015-06-16,7479.77
311,2015-06-17,7200.96
312,2015-06-18,7041.63
313,2015-06-19,12546.36
314,2015-06-20,15840.73
315,2015-06-21,14309.52
316,2015-06-22,6910.58
317,2015-06-23,8414.13
